〇	[〇_j]
㔚	[舌力_mi_ym]
㔛	[士口力_b_j_ym]
㔜	[爫子力_pv_ya_ym]
㔝	[一巾入入力_a_li_oda_oda_ym]
㔞	[千{北左}匕力_me_ti_rr_ym]
㔟	[生丸力_mc_qya_ym]
㔠	[日匃力_k_ry_ym]
㔡	[{囟框}㐅匕匕力_nj_os_rr_rr_ym]
㔢	[糹⺈巴力_z_r_yia_ym]
㔣	[田田田力_ki_ki_ki_ym]
㔤	[宀釆田力_wd_pf_ki_ym]
㔥	[罒厶⺝匕匕力_lk_zs_q_rr_rr_ym]
㔦	[{菐下}丶艮力_uc_s_xo_ym]
㔧	[虍田皿力_ih_ki_lka_ym]
㔨	[勹{北左}匕⺝_ry_ti_rr_q]
㔩	[勹土厶皿_ry_b_zs_lka]
㔪	[勹⺊囗※_ry_id_jd_os]
㔫	[𠂇匕_gd_rr]
㔬	[匕日十_rr_k_ed]
㔭	[匕日一龰_rr_k_a_ii]
㔮	[廿口二人厶⺝匕匕_ea_j_bd_od_zs_q_rr_rr]
㔯	[匚几口_h_qd_j]
㔰	[匚夕卜_h_rs_id]
㔱	[匚臼人_h_nb_od]
㔲	[匚飠九_h_ox_qy]
㔳	[匚飠几_h_ox_qd]
㔴	[匚田龷八_h_ki_ea_o]
㔵	[匚巳巳龷八_h_yyb_yyb_ea_o]
㔶	[匚立日十夂工貝_h_su_k_ed_rs_bi_lo]
㔷	[匸一冂人_h_a_ld_od]
㔸	[匸⺁虎_h_pd_ih]
㔹	[十力_ed_ym]
㔺	[十十㇗_ed_ed_z]
㔻	[不十_gi_ed]
㔼	[扌隹十_d_ni_ed]
㔽	[⺊囗口_id_jd_j]
㔾	[㔾_yyb]
㔿	[一丩_a_zi]
㕀	[由㔾_kia_yyb]
㕁	[㐅𠂇厶卩_os_gd_zs_y]
㕂	[厂人丶㇇_gg_od_s_x]
㕃	[厂一廾_gg_a_e]
㕄	[厂一㇜厶_gg_a_z_zs]
㕅	[厂甲_gg_kib]
㕆	[厂十口_gg_ed_j]
㕇	[厂立_gg_su]
㕈	[厂亠𧘇_gg_s_rh]
㕉	[厂人一口_gg_od_a_j]
㕊	[厂甫_gg_fb]
㕋	[厂金_gg_p]
㕌	[厂日一寸_gg_k_a_ds]
㕍	[厂隹_gg_ni]
㕎	[厂土厶皿_gg_b_zs_lka]
㕏	[厂一口䒑⺀十_gg_a_j_ua_td_ed]
㕐	[厂臼勹灬_gg_nb_ry_uo]
㕑	[厂士口䒑寸_gg_b_j_ua_ds]
㕒	[厂⺷手戈_gg_uc_md_hm]
㕓	[厂{柬中}土灬土_gg_lk_b_uo_b]
㕔	[厂耳王十罒一心_gg_ce_c_ed_lk_a_wz]
㕕	[厶厶_zs_zs]
㕖	[厶厶厶木_zs_zs_zs_f]
㕗	[⺷𠂊㇏厶_uc_r_s_zs]
㕘	[厶厶厶人小_zs_zs_zs_od_ko]
㕙	[厶八夊⺈口儿丶_zs_o_rs_r_j_rd_s]
㕚	[又丶丶_xs_s_s]
㕛	[又又_xs_xs]
㕜	[口丨又_j_i_xs]
㕝	[十口又_ed_j_xs]
㕞	[尸巾又_xm_li_xs]
㕟	[⺊{扁下}又_id_ld_xs]
㕠	[冫隹又_td_ni_xs]
㕡	[⺊冖一八人口又_id_ww_a_o_od_j_xs]
㕢	[⺊冖一貝又_id_ww_a_lo_xs]
㕣	[八口_o_j]
㕤	[口九_j_qy]
㕥	[口人_j_od]
㕦	[口大_j_gd]
㕧	[口尸_j_xm]
㕨	[口凡_j_qda]
㕩	[口丰_j_ci]
㕪	[口冖儿_j_ww_rd]
㕫	[口方_j_sy]
㕬	[口八厶_j_o_zs]
㕭	[口丿大_j_m_gd]
㕮	[口八乂_j_o_os]
㕯	[冂人口_ld_od_j]
㕰	[口毛_j_mh]
㕱	[口尤_j_gr]
㕲	[口木_j_f]
㕳	[口㐅凵_j_os_zi]
㕴	[口冖几_j_ww_qd]
㕵	[口王_j_c]
㕶	[口工㇕_j_bi_x]
㕷	[口白_j_nk]
㕸	[口立_j_su]
㕹	[口𠂇又丶_j_gd_xs_s]
㕺	[口口一㇉_j_j_a_z]
㕻	[丶不口_s_gi_j]
㕼	[口勹㇗㐅_j_ry_z_os]
㕽	[口{以左}人_j_zs_od]
㕾	[小口匕_ko_j_rr]
㕿	[禾口_mf_j]
㖀	[口肀二_j_xb_bd]
㖁	[口㐅𠂇厶_j_os_gd_zs]
㖂	[口日㇂丿_j_k_z_m]
㖃	[口⺁一口_j_pd_a_j]
㖄	[口⺍川_j_vd_nd]
㖅	[口戊一_j_hm_a]
㖆	[口日〢_j_k_kd]
㖇	[口而_j_gl]
㖈	[耂匕口_bm_rr_j]
㖉	[口人止_j_od_ii]
㖊	[口⺕寸_j_xb_ds]
㖋	[人{丿丨}口匕_od_nd_j_rr]
㖌	[亻九口匕_n_qy_j_rr]
㖍	[⺀十口匕_td_ed_j_rr]
㖎	[口匕人{丿丨}_j_rr_od_nd]
㖏	[口日土_j_k_b]
㖐	[口口尹_j_j_xma]
㖑	[口戈廾_j_hm_e]
㖒	[口丷{弟下}_j_ud_yz]
㖓	[口夂丰_j_rs_ci]
㖔	[口丿大口_j_m_gd_j]
㖕	[口辛_j_se]
㖖	[辛口_se_j]
㖗	[口山人丶㇇_j_ll_od_s_x]
㖘	[口辰_j_gh]
㖙	[力口口匕_ym_j_j_rr]
㖚	[亻寸口匕_n_ds_j_rr]
㖛	[十口口匕_ed_j_j_rr]
㖜	[亠口口匕_s_j_j_rr]
㖝	[二小口匕_bd_ko_j_rr]
㖞	[口口冂人_j_j_ld_od]
㖟	[口爫冖又_j_pv_ww_xs]
㖠	[口大示_j_gd_bk]
㖡	[口亠亻{夊}_j_s_n_rs]
㖢	[口广止匕_j_tg_ii_rr]
㖣	[口立口_j_su_j]
㖤	[口㇇氺凵_j_x_kv_zi]
㖥	[口囗禾_j_jd_mf]
㖦	[口木日_j_f_k]
㖧	[口氏日_j_rh_k]
㖨	[口⼹氺_j_xb_kv]
㖩	[口耳又_j_ce_xs]
㖪	[口戈口一_j_hm_j_a]
㖫	[口土八夊_j_b_o_rs]
㖬	[口臼又_j_nb_xs]
㖭	[口一大⺗_j_a_gd_u]
㖮	[口人一{扁下}_j_od_a_ld]
㖯	[同口匕_ld_j_rr]
㖰	[口匕同_j_rr_ld]
㖱	[亠亻{夊}口_s_n_rs_j]
㖲	[女口口匕_zm_j_j_rr]
㖳	[氵女口匕_v_zm_j_rr]
㖴	[口艹勹{丿丿}_j_e_ry_od]
㖵	[口{且}八_j_lc_o]
㖶	[口覀土_j_fj_b]
㖷	[口日一龰_j_k_a_ii]
㖸	[口虍ㅌ_j_ih_h]
㖹	[口八刀皿_j_o_yd_lka]
㖺	[口春_j_co]
㖻	[口龴乛亅丿木_j_xs_x_i_m_f]
㖼	[口甘木_j_eb_f]
㖽	[口頁_j_go]
㖾	[口口䒑{艸左}_j_j_ua_zi]
㖿	[口耳阝_j_ce_y]
㗀	[口㇜厶㇜厶山_j_z_zs_z_zs_ll]
㗁	[口口口二㇉_j_j_j_bd_z]
㗂	[口小丿目_j_ko_m_l]
㗃	[口{巳}{七}日_j_yyb_hd_k]
㗄	[口罒方_j_lk_sy]
㗅	[口十口月_j_ed_j_q]
㗆	[口革_j_ee]
㗇	[口Ｐ二コ又_j_x_bd_x_xs]
㗈	[口龴{甬下}力_j_xs_ld_ym]
㗉	[丰刀夂口_ci_yd_rs_j]
㗊	[口口口口_j_j_j_j]
㗋	[口⺈厂矢_j_r_gg_ma]
㗌	[口宀至_j_wd_hb]
㗍	[口禾日_j_mf_k]
㗎	[口力口木_j_ym_j_f]
㗏	[口不一止_j_gi_a_ii]
㗐	[口大丶皿_j_gd_s_lka]
㗑	[口龵一丰_j_md_a_ci]
㗒	[口亠口𧘇_j_s_j_rh]
㗓	[口辶丿㠯_j_w_m_y]
㗔	[口虍文_j_ih_so]
㗕	[口{冓上}冂土_j_eb_ld_b]
㗖	[口爫臼_j_pv_nb]
㗗	[口力{卑上}十_j_ym_nj_ed]
㗘	[口甫寸_j_fb_ds]
㗙	[口勹{艸左}勹{艸左}_j_ry_zi_ry_zi]
㗚	[口覀木_j_fj_f]
㗛	[口⺮丿大_j_m_m_gd]
㗜	[口亠㇜厶田_j_s_z_zs_ki]
㗝	[口⺷灬_j_uc_uo]
㗞	[口石皮_j_g_xi]
㗟	[氵丶王口匕_v_s_c_j_rr]
㗠	[女厶口口匕_zm_zs_j_j_rr]
㗡	[艹亻㇡丿口匕_e_n_y_m_j_rr]
㗢	[口千日二力_j_me_k_bd_ym]
㗣	[口{帶上}冖巾_j_ea_ww_li]
㗤	[戊⺊一小口_hm_id_a_ko_j]
㗥	[口亠口子阝_j_s_j_ya_y]
㗦	[口耳{卬左}丿卩_j_ce_rh_m_y]
㗧	[口穴至_j_wo_hb]
㗨	[匸矢殳口_h_ma_qx_j]
㗩	[口习习白_j_yt_yt_nk]
㗪	[口止匕糸_j_ii_rr_z]
㗫	[口{祭上}示_j_rs_bk]
㗬	[⺌冖口夕夕_ko_ww_j_rs_rs]
㗭	[口釆心_j_pf_wz]
㗮	[夕口广⺕人_rs_j_tg_xb_od]
㗯	[者口匕_bm_j_rr]
㗰	[口彳人人龰_j_oi_od_od_ii]
㗱	[口隹木_j_ni_f]
㗲	[口{⺻}田一_j_xb_ki_a]
㗳	[口⺮人一口_j_m_od_a_j]
㗴	[口門月_j_xd_q]
㗵	[口火火欠_j_uo_uo_ro]
㗶	[口癶弓殳_j_xs_yz_qx]
㗷	[口宀{冓上}贝_j_wd_eb_lo]
㗸	[口行𠂉十凵_j_oi_ma_ed_zi]
㗹	[口隹心_j_ni_wz]
㗺	[口一大非_j_a_gd_kc]
㗻	[口辶咼_j_w_lj]
㗼	[口業_j_ku]
㗽	[㇜{亥中}丶{艮}阝口_z_zm_s_xo_y_j]
㗾	[口革亻𠤎_j_ee_n_rr]
㗿	[口門丁口_j_xd_ai_j]
㘀	[口臼米_j_nb_uf]
㘁	[口罒土{幸下}_j_lk_b_ub]
㘂	[口䒑㇜厶㇜厶心_j_ua_z_zs_z_zs_wz]
㘃	[口艹𠂇口心_j_e_gd_j_wz]
㘄	[口木罒方_j_f_lk_sy]
㘅	[口行金_j_oi_p]
㘆	[口士口冖至_j_b_j_ww_hb]
㘇	[口火火冖木_j_uo_uo_ww_f]
㘈	[口匕矢龴乛龰_j_rr_ma_xs_x_ii]
㘉	[口⺮{艮}卩_j_m_xo_y]
㘊	[口⻗言_j_fv_s]
㘋	[口臣又貝_j_h_xs_lo]
㘌	[口虍豕刂_j_ih_gq_kd]
㘍	[口小隹戈_j_ko_ni_hm]
㘎	[口门乛耳攵_j_tl_x_ce_mo]
㘏	[辶䒑自口匕_w_ua_nl_j_rr]
㘐	[口馬亠八乂_j_cu_s_o_os]
㘑	[口士示⺕氺_j_b_bk_xb_kv]
㘒	[禾千日二口匕_mf_me_k_bd_j_rr]
㘓	[口門木{柬中}_j_xd_f_lk]
㘔	[口宀{冓上}八貝_j_wd_eb_o_lo]
㘕	[口艹臣{⺮半}皿_j_e_h_m_lka]
㘖	[口立丿彡頁_j_su_m_pd_go]
㘗	[口目目隹_j_l_l_ni]
㘘	[龻口_zs_j]
㘙	[口口口厂乛耳攵_j_j_j_gg_x_ce_mo]
㘚	[口門乛耳攵_j_xd_x_ce_mo]
㘛	[口人一口龍_j_od_a_j_si]
㘜	[隹言隹口_ni_s_ni_j]
㘝	[囗又_jd_xs]
㘞	[囗力_jd_ym]
㘟	[囗廾_jd_e]
㘠	[囗心丿_jd_wz_m]
㘡	[囗甲_jd_kib]
㘢	[囗⺌兀_jd_ko_gr]
㘣	[囗口⺝_jd_j_q]
㘤	[囗氵{淵右}_jd_v_nd]
㘥	[囗爫𠂉十凵丿糸_jd_pv_ma_ed_zi_m_z]
㘦	[土力_b_ym]
㘧	[土龴乛亅_b_xs_x_i]
㘨	[土冂人_b_ld_od]
㘩	[土匕匕_b_rr_rr]
㘪	[土毛_b_mh]
㘫	[土二{丿丨}_b_bd_nd]
㘬	[土勹厶_b_ry_zs]
㘭	[土㇜厶㇆_b_z_zs_y]
㘮	[土尸㇏_b_xm_s]
㘯	[土𠂉力_b_ma_ym]
㘰	[土⺀十_b_td_ed]
㘱	[土冂土_b_ld_b]
㘲	[土尸九_b_xm_qy]
㘳	[{北左}匕土_ti_rr_b]
㘴	[口人土_j_od_b]
㘵	[土𠂇巾_b_gd_li]
㘶	[夕㐄土_rs_mb_b]
㘷	[土艹乂_b_e_os]
㘸	[一夕匕土_a_rs_rr_b]
㘹	[止匕土_ii_rr_b]
㘺	[土亻戈_b_n_hm]
㘻	[土因_b_jd]
㘼	[土耂一㇉_b_bm_a_z]
㘽	[𢦏土_eh_b]
㘾	[土宀一{于下}_b_wd_a_d]
㘿	[土日土_b_k_b]
㙀	[土穴九_b_wo_qy]
㙁	[土𠂉母_b_ma_zy]
㙂	[土丷口儿_b_ud_j_rd]
㙃	[土丘八_b_pda_o]
㙄	[土匕匕土_b_rr_rr_b]
㙅	[土口木_b_j_f]
㙆	[土宀𠂇厶_b_wd_gd_zs]
㙇	[土豕丶_b_gq_s]
㙈	[土虎_b_ih]
㙉	[土冂龷八_b_ld_ea_o]
㙊	[土長_b_ch]
㙋	[土其_b_ec]
㙌	[土肀{丿丨}八_b_xb_nd_o]
㙍	[土又又又又_b_xs_xs_xs_xs]
㙎	[土戊一女_b_hm_a_zm]
㙏	[土𠂉日夊_b_ma_k_rs]
㙐	[土山而_b_ll_gl]
㙑	[丿虫冂土_m_i_ld_b]
㙒	[田龴乛亅土_ki_xs_x_i_b]
㙓	[土土土土_b_b_b_b]
㙔	[土{韋上}口㐄_b_x_j_mb]
㙕	[土田⺝_b_ki_q]
㙖	[土丿虫冂_b_m_i_ld]
㙗	[土田{畏下}_b_ki_h]
㙘	[土覀女_b_fj_zm]
㙙	[氵尨土_v_gm_b]
㙚	[土⺷牛_b_uc_mb]
㙛	[土甫寸_b_fb_ds]
㙜	[亠口{冋}土_s_j_ld_b]
㙝	[土力力力⺝_b_ym_ym_ym_q]
㙞	[土自木_b_nl_f]
㙟	[土丶{艮}月_b_s_xo_q]
㙠	[匸矢殳土_h_ma_qx_b]
㙡	[土彳人人龰_b_oi_od_od_ii]
㙢	[土廿巾入入_b_ea_li_oda_oda]
㙣	[土弓長_b_yz_ch]
㙤	[土虍丿{乎下}_b_ih_m_ua]
㙥	[土亠八厶𧘇_b_s_o_zs_rh]
㙦	[人{余下}⺀十土_od_mf_td_ed_b]
㙧	[土一〢匚コ田_b_a_kd_h_x_ki]
㙨	[土㇜厶㇜厶戈人_b_z_zs_z_zs_hm_od]
㙩	[土大丷日小_b_gd_ud_k_ko]
㙪	[土士冖一口䒑_b_b_ww_a_j_ua]
㙫	[土隹木_b_ni_f]
㙬	[木人人大丶土_f_od_od_gd_s_b]
㙭	[土厂䒑{艸左}欠_b_gg_ua_zi_ro]
㙮	[土⺮人一口_b_m_od_a_j]
