〇	[〇_j]
鵂	[亻木鳥_n_f_rz]
鵃	[舟鳥_py_rz]
鵄	[至鳥_hb_rz]
鵅	[夂口鳥_rs_j_rz]
鵆	[行鳥_oi_rz]
鵇	[𠂉ヰ鳥_ma_mb_rz]
鵈	[耳鳥_ce_rz]
鵉	[{变上}鳥_sk_rz]
鵊	[大人人鳥_gd_od_od_rz]
鵋	[己心鳥_yy_wz_rz]
鵌	[鳥人{余下}_rz_od_mf]
鵍	[宀二儿鳥_wd_bd_rd_rz]
鵎	[爫女鳥_pv_zm_rz]
鵏	[甫鳥_fb_rz]
鵐	[工人人鳥_bi_od_od_rz]
鵑	[口⺝鳥_j_q_rz]
鵒	[八人口鳥_o_od_j_rz]
鵓	[十冖子鳥_ed_ww_ya_rz]
鵔	[鳥厶八夊_rz_zs_o_rs]
鵕	[厶八夊鳥_zs_o_rs_rz]
鵖	[{艮}鳥_xo_rz]
鵗	[㐅𠂇巾鳥_os_gd_li_rz]
鵘	[尹口鳥_xma_j_rz]
鵙	[貝鳥_lo_rz]
鵚	[禾几鳥_mf_qd_rz]
鵛	[{巠上}工鳥_hd_bi_rz]
鵜	[丷{弟下}鳥_ud_yz_rz]
鵝	[手戈鳥_md_hm_rz]
鵞	[手戈鳥_md_hm_rz]
鵟	[犭王鳥_qm_c_rz]
鵠	[⺧口鳥_mb_j_rz]
鵡	[一弋止鳥_a_hs_ii_rz]
鵢	[身鳥_nc_rz]
鵣	[木口鳥_f_j_rz]
鵤	[⺈{用}鳥_r_ld_rz]
鵥	[半刂鳥_ub_kd_rz]
鵦	[鳥⼹氺_rz_xb_kv]
鵧	[䒑廾鳥_ua_e_rz]
鵨	[人{舍下}鳥_od_mi_rz]
鵩	[月卩又鳥_q_y_xs_rz]
鵪	[大日乚鳥_gd_k_z_rz]
鵫	[⺊日十鳥_id_k_ed_rz]
鵬	[月月鳥_q_q_rz]
鵭	[金鳥_p_rz]
鵮	[⺈臼鳥_r_nb_rz]
鵯	[{卑上}十鳥_nj_ed_rz]
鵰	[⺆土口鳥_ld_b_j_rz]
鵱	[土八土鳥_b_o_b_rz]
鵲	[龷日鳥_ea_k_rz]
鵳	[户⺝鳥_wm_q_rz]
鵴	[勹米鳥_ry_uf_rz]
鵵	[⺈口儿丶鳥_r_j_rd_s_rz]
鵶	[亞鳥_bz_rz]
鵷	[宀夕㔾鳥_wd_rs_yyb_rz]
鵸	[大丁口鳥_gd_ai_j_rz]
鵹	[禾勹丿鳥_mf_ry_m_rz]
鵺	[亠亻{夊}鳥_s_n_rs_rz]
鵻	[鳥隹_rz_ni]
鵼	[穴工鳥_wo_bi_rz]
鵽	[又又又又鳥_xs_xs_xs_xs_rz]
鵾	[日匕匕鳥_k_rr_rr_rz]
鵿	[鳥日丿廾_rz_k_m_e]
鶀	[鳥其_rz_ec]
鶁	[亠口小鳥_s_j_ko_rz]
鶂	[臼儿鳥_nb_rd_rz]
鶃	[鳥臼儿_rz_nb_rd]
鶄	[龶⺝鳥_ci_q_rz]
鶅	[巛田鳥_zd_ki_rz]
鶆	[木人人鳥_f_od_od_rz]
鶇	[木日鳥_f_k_rz]
鶈	[一{肀}女鳥_a_xb_zm_rz]
鶉	[亠口子鳥_s_j_ya_rz]
鶊	[广⺕人鳥_tg_xb_od_rz]
鶋	[尸十口鳥_xm_ed_j_rz]
鶌	[尸屮凵鳥_xm_zi_zi_rz]
鶍	[日勹{丿丿}鳥_k_ry_od_rz]
鶎	[宀示鳥_wd_bk_rz]
鶏	[爫二人鳥_pv_bd_od_rz]
鶐	[辶木丶鳥_w_f_s_rz]
鶑	[火火鳥_uo_uo_rz]
鶒	[木口力鳥_f_j_ym_rz]
鶓	[艹田鳥_e_ki_rz]
鶔	[龴乛亅丿木鳥_xs_x_i_m_f_rz]
鶕	[立日鳥_su_k_rz]
鶖	[禾火鳥_mf_uo_rz]
鶗	[日一龰鳥_k_a_ii_rz]
鶘	[十口月鳥_ed_j_q_rz]
鶙	[亠丷冖巾鳥_s_ud_ww_li_rz]
鶚	[口口二㇉鳥_j_j_bd_z_rz]
鶛	[匕匕白鳥_rr_rr_nk_rz]
鶜	[艹龴乛亅丿鳥_e_xs_x_i_m_rz]
鶝	[一口田鳥_a_j_ki_rz]
鶞	[⺁十目鳥_pd_ed_l_rz]
鶟	[穴大丶鳥_wo_gd_s_rz]
鶠	[匸日女鳥_h_k_zm_rz]
鶡	[日匃鳥_k_ry_rz]
鶢	[爫一𠂇又鳥_pv_a_gd_xs_rz]
鶣	[户{扁下}鳥_wm_ld_rz]
鶤	[冖車鳥_ww_fk_rz]
鶥	[{声下}目鳥_xm_l_rz]
鶦	[十口月鳥_ed_j_q_rz]
鶧	[艹冂大鳥_e_ld_gd_rz]
鶨	[彑{乑}鳥_zm_gq_rz]
鶩	[龴乛亅丿攵鳥_xs_x_i_m_mo_rz]
鶪	[目大丶鳥_l_gd_s_rz]
鶫	[木{柬中}鳥_f_lk_rz]
鶬	[人丶{倉中}口鳥_od_s_xm_j_rz]
鶭	[糹方鳥_z_sy_rz]
鶮	[亠口{冋}鳥_s_j_ld_rz]
鶯	[火火冖鳥_uo_uo_ww_rz]
鶰	[口貝鳥_j_lo_rz]
鶱	[宀{冓上}八鳥_wd_eb_o_rz]
鶲	[八厶习习鳥_o_zs_yt_yt_rz]
鶳	[鳥丿㠯一巾_rz_m_y_a_li]
鶴	[冖隹鳥_ww_ni_rz]
鶵	[勹{艸左}勹{艸左}鳥_ry_zi_ry_zi_rz]
鶶	[广肀口鳥_tg_xb_j_rz]
鶷	[宀丰口鳥_wd_ci_j_rz]
鶸	[弓冫弓冫鳥_yz_td_yz_td_rz]
鶹	[{卬左}丶刀田鳥_rh_s_yd_ki_rz]
鶺	[∷人⺝鳥_v_od_q_rz]
鶻	[骨鳥_lw_rz]
鶼	[䒑{兼下}鳥_ua_xk_rz]
鶽	[隹十鳥_ni_ed_rz]
鶾	[十日十𠂉鳥_ed_k_ed_ma_rz]
鶿	[䒑㇜厶㇜厶鳥_ua_z_zs_z_zs_rz]
鷀	[䒑㇜厶㇜厶鳥_ua_z_zs_z_zs_rz]
鷁	[䒑八皿鳥_ua_o_lka_rz]
鷂	[爫𠂉十凵鳥_pv_ma_ed_zi_rz]
鷃	[日宀女鳥_k_wd_zm_rz]
鷄	[爫㇜厶大鳥_pv_z_zs_gd_rz]
鷅	[覀木鳥_fj_f_rz]
鷆	[匕㇗目八鳥_rr_z_l_o_rz]
鷇	[士冖一鳥殳_b_ww_a_rz_qx]
鷈	[鳥⺁虎_rz_pd_ih]
鷉	[⺁虎鳥_pd_ih_rz]
鷊	[一口{鬲下}鳥_a_j_ld_rz]
鷋	[艹人{余下}鳥_e_od_mf_rz]
鷌	[鳥馬_rz_cu]
鷍	[自木鳥_nl_f_rz]
鷎	[白大十鳥_nk_gd_ed_rz]
鷏	[十{且}八鳥_ed_lc_o_rz]
鷐	[日辰鳥_k_gh_rz]
鷑	[⺮立鳥_m_su_rz]
鷒	[{專上}寸鳥_fk_ds_rz]
鷓	[广廿灬鳥_tg_ea_uo_rz]
鷔	[龶{万下}攵鳥_ci_ym_mo_rz]
鷕	[口隹鳥_j_ni_rz]
鷖	[匸矢殳鳥_h_ma_qx_rz]
鷗	[匸口口口鳥_h_j_j_j_rz]
鷘	[木口攵鳥_f_j_mo_rz]
鷙	[土{幸下}丸鳥_b_ub_qya_rz]
鷚	[习习人彡鳥_yt_yt_od_pd_rz]
鷛	[广肀{冃}鳥_tg_xb_ld_rz]
鷜	[{婁上}女鳥_kj_zm_rz]
鷝	[日卄キ鳥_k_e_bi_rz]
鷞	[大㐅乂㐅乂鳥_gd_os_os_os_os_rz]
鷟	[方𠂉矢鳥_sy_ma_ma_rz]
鷠	[魚鳥_r_rz]
鷡	[𠂉{無中}灬鳥_ma_ea_uo_rz]
鷢	[厂䒑{艸左}欠鳥_gg_ua_zi_ro_rz]
鷣	[覀日十鳥_fj_k_ed_rz]
鷤	[口口日十鳥_j_j_k_ed_rz]
鷥	[糹糸鳥_z_z_rz]
鷦	[隹灬鳥_ni_uo_rz]
鷧	[士冖一口䒑鳥_b_ww_a_j_ua_rz]
鷨	[艹一卄キ鳥_e_a_e_bi_rz]
鷩	[氺冂攵鳥_kv_ld_mo_rz]
鷪	[目目冖鳥_l_l_ww_rz]
鷫	[肀{淵右}鳥_xb_nd_rz]
鷬	[龷由八鳥_ea_kia_o_rz]
鷭	[釆田鳥_pf_ki_rz]
鷮	[丿大口{冋}鳥_m_gd_j_ld_rz]
鷯	[大丷日小鳥_gd_ud_k_ko_rz]
鷰	[廿{北左}口匕鳥_ea_ti_j_rr_rz]
鷱	[自∷十鳥_nl_v_ed_rz]
鷲	[亠口小尤鳥_s_j_ko_gr_rz]
鷳	[門月鳥_xd_q_rz]
鷴	[門木鳥_xd_f_rz]
鷵	[尸者鳥_xm_bm_rz]
鷶	[罒貝鳥_lk_lo_rz]
鷷	[丷酉寸鳥_ud_fd_ds_rz]
鷸	[龴乛亅丿{冏}鳥_xs_x_i_m_ld_rz]
鷹	[广亻隹鳥_tg_n_ni_rz]
鷺	[⻊夂口鳥_ji_rs_j_rz]
鷻	[鳥亠口子攵_rz_s_j_ya_mo]
鷼	[門日鳥_xd_k_rz]
鷽	[{𦥯框}㐅乂鳥_nb_os_os_rz]
鷾	[立日心鳥_su_k_wz_rz]
鷿	[尸口辛鳥_xm_j_se_rz]
鸀	[罒勹虫鳥_lk_ry_i_rz]
鸁	[亡口月鳥凡_sh_j_q_rz_qda]
鸂	[氵爫㇜厶大鳥_v_pv_z_zs_gd_rz]
鸃	[鳥⺷手戈_rz_uc_md_hm]
鸄	[白方攵鳥_nk_sy_mo_rz]
鸅	[罒土{幸下}鳥_lk_b_ub_rz]
鸆	[虍口一大鳥_ih_j_a_gd_rz]
鸇	[亠囗口日一鳥_s_jd_j_k_a_rz]
鸈	[業鳥_ku_rz]
鸉	[木日一勹{丿丿}鳥_f_k_a_ry_od_rz]
鸊	[尸口辛鳥_xm_j_se_rz]
鸋	[宀心皿丁鳥_wd_wz_lka_ai_rz]
鸌	[鳥艹隹又_rz_e_ni_xs]
鸍	[一八巾㐅乂㐅乂鳥_a_o_li_os_os_os_os_rz]
鸎	[貝貝鳥_lo_lo_rz]
鸏	[艹冖一豕鳥_e_ww_a_gq_rz]
鸐	[习习隹鳥_yt_yt_ni_rz]
鸑	[犭言大丶鳥_qm_s_gd_s_rz]
鸒	[{臼}一㇞丨八鳥_nb_a_z_i_o_rz]
鸓	[田田田鳥_ki_ki_ki_rz]
鸔	[鳥日龷八氺_rz_k_ea_o_kv]
鸕	[虍田皿鳥_ih_ki_lka_rz]
鸖	[⻗隹鳥_fv_ni_rz]
鸗	[龍鳥_si_rz]
鸘	[⻗木目鳥_fv_f_l_rz]
鸙	[人一口口口{扁下}鳥_od_a_j_j_j_ld_rz]
鸚	[貝貝女鳥_lo_lo_zm_rz]
鸛	[艹口口隹鳥_e_j_j_ni_rz]
鸜	[目目隹鳥_l_l_ni_rz]
鸝	[一{冂块}一{冂块}鹿鳥_a_ld_a_ld_tx_rz]
鸞	[龻鳥_zs_rz]
鸟	[鸟_rz]
鸠	[九鸟_qy_rz]
鸡	[又鸟_xs_rz]
鸢	[弋鸟_hs_rz]
鸣	[口鸟_j_rz]
鸤	[尸鸟_xm_rz]
鸥	[匸㐅鸟_h_os_rz]
鸦	[牙鸟_hi_rz]
鸧	[人㔾鸟_od_yyb_rz]
鸨	[匕十鸟_rr_ed_rz]
鸩	[冖儿鸟_ww_rd_rz]
鸪	[十口鸟_ed_j_rz]
鸫	[{七}小鸟_hd_ko_rz]
鸬	[⺊尸鸟_id_xm_rz]
鸭	[甲鸟_kib_rz]
鸮	[口一㇉鸟_j_a_z_rz]
鸯	[冂大鸟_ld_gd_rz]
鸰	[人{之}鸟_od_w_rz]
鸱	[氏丶鸟_rh_s_rz]
鸲	[勹口鸟_ry_j_rz]
鸳	[夕㔾鸟_rs_yyb_rz]
鸴	[⺍冖鸟_vd_ww_rz]
鸵	[鸟宀匕_rz_wd_rr]
鸶	[㇜㇜㇜㇜一鸟_z_z_z_z_a_rz]
鸷	[扌丸鸟_d_qya_rz]
鸸	[而鸟_gl_rz]
鸹	[舌鸟_mi_rz]
鸺	[亻木鸟_n_f_rz]
鸻	[行鸟_oi_rz]
鸼	[舟鸟_py_rz]
鸽	[人一口鸟_od_a_j_rz]
鸾	[{变上}鸟_sk_rz]
鸿	[氵工鸟_v_bi_rz]
鹀	[工人人鸟_bi_od_od_rz]
鹁	[十冖子鸟_ed_ww_ya_rz]
鹂	[一{冂块}{冂块}鸟_a_ld_ld_rz]
鹃	[口⺝鸟_j_q_rz]
鹄	[⺧口鸟_mb_j_rz]
鹅	[手戈鸟_md_hm_rz]
鹆	[八人口鸟_o_od_j_rz]
鹇	[门木鸟_tl_f_rz]
鹈	[丷{弟下}鸟_ud_yz_rz]
鹉	[一弋止鸟_a_hs_ii_rz]
鹊	[龷日鸟_ea_k_rz]
鹋	[艹田鸟_e_ki_rz]
鹌	[大日乚鸟_gd_k_z_rz]
鹍	[日匕匕鸟_k_rr_rr_rz]
鹎	[{卑上}十鸟_nj_ed_rz]
鹏	[月月鸟_q_q_rz]
鹐	[⺈臼鸟_r_nb_rz]
鹑	[亠口子鸟_s_j_ya_rz]
鹒	[广⺕人鸟_tg_xb_od_rz]
鹓	[宀夕㔾鸟_wd_rs_yyb_rz]
鹔	[肀{丿丨}八鸟_xb_nd_o_rz]
鹕	[十口月鸟_ed_j_q_rz]
鹖	[日匃鸟_k_ry_rz]
鹗	[口口二㇉鸟_j_j_bd_z_rz]
鹘	[骨鸟_lw_rz]
鹙	[禾火鸟_mf_uo_rz]
鹚	[䒑㇜厶㇜厶鸟_ua_z_zs_z_zs_rz]
鹛	[{声下}目鸟_xm_l_rz]
鹜	[龴乛亅丿攵鸟_xs_x_i_m_mo_rz]
鹝	[一口{鬲下}鸟_a_j_ld_rz]
鹞	[爫𠂉十凵鸟_pv_ma_ed_zi_rz]
鹟	[八厶习习鸟_o_zs_yt_yt_rz]
鹠	[{卬左}丶刀田鸟_rh_s_yd_ki_rz]
鹡	[∷人⺝鸟_v_od_q_rz]
鹢	[䒑八皿鸟_ua_o_lka_rz]
鹣	[䒑{兼下}鸟_ua_xk_rz]
鹤	[冖隹鸟_ww_ni_rz]
鹥	[匸矢殳鸟_h_ma_qx_rz]
鹦	[贝贝女鸟_lo_lo_zm_rz]
鹧	[广廿灬鸟_tg_ea_uo_rz]
鹨	[习习人彡鸟_yt_yt_od_pd_rz]
鹩	[大丷日小鸟_gd_ud_k_ko_rz]
鹪	[隹灬鸟_ni_uo_rz]
鹫	[亠口小尤鸟_s_j_ko_gr_rz]
鹬	[龴乛亅丿{冏}鸟_xs_x_i_m_ld_rz]
鹭	[⻊夂口鸟_ji_rs_j_rz]
鹮	[罒一口𧘇鸟_lk_a_j_rh_rz]
鹯	[亠囗口日一鸟_s_jd_j_k_a_rz]
鹰	[广亻隹鸟_tg_n_ni_rz]
鹱	[鸟艹隹又_rz_e_ni_xs]
鹲	[艹冖一豕鸟_e_ww_a_gq_rz]
鹳	[艹口口隹鸟_e_j_j_ni_rz]
鹴	[⻗木目鸟_fv_f_l_rz]
鹵	[⺊囗※_id_jd_os]
鹶	[⺊囗※人丶㇇_id_jd_os_od_s_x]
鹷	[⺊囗※人{之}_id_jd_os_od_w]
鹸	[⺊囗※人一口人_id_jd_os_od_a_j_od]
鹹	[⺊囗※戊一口_id_jd_os_hm_a_j]
鹺	[⺊囗※⺶工_id_jd_os_uc_bi]
鹻	[⺊囗※䒑{兼下}_id_jd_os_ua_xk]
鹼	[⺊囗※人一口口人人_id_jd_os_od_a_j_j_od_od]
鹽	[臣𠂉⺊囗※皿_h_ma_id_jd_os_lka]
鹾	[⺊囗㐅⺶工_id_jd_os_uc_bi]
鹿	[鹿_tx]
麀	[鹿匕_tx_rr]
麁	[𠂊鹿_r_tx]
麂	[鹿几_tx_qd]
麃	[鹿灬_tx_uo]
麄	[八刀鹿_o_yd_tx]
麅	[鹿包_tx_ry]
麆	[鹿且_tx_lc]
麇	[鹿禾_tx_mf]
麈	[鹿丶王_tx_s_c]
麉	[一十一十鹿_a_ed_a_ed_tx]
麊	[米鹿_uf_tx]
麋	[鹿米_tx_uf]
麌	[鹿口一大_tx_j_a_gd]
麍	[鹿亠厶{巟下}_tx_s_zs_nd]
麎	[鹿辰_tx_gh]
麏	[鹿尹口_tx_xma_j]
麐	[鹿文口_tx_so_j]
麑	[鹿臼儿_tx_nb_rd]
麒	[鹿其_tx_ec]
麓	[木木鹿_f_f_tx]
麔	[鹿夊卜口_tx_rs_id_j]
麕	[鹿囗禾_tx_jd_mf]
麖	[鹿亠口小_tx_s_j_ko]
麗	[一{冂块}一{冂块}鹿_a_ld_a_ld_tx]
麘	[鹿禾日_tx_mf_k]
麙	[鹿戊一口_tx_hm_a_j]
麚	[鹿Ｐ二コ又_tx_x_bd_x_xs]
麛	[鹿弓耳_tx_yz_ce]
麜	[鹿覀木_tx_fj_f]
麝	[鹿身寸_tx_nc_ds]
麞	[鹿立日十_tx_su_k_ed]
麟	[鹿米夕㐄_tx_uf_rs_mb]
麠	[鹿三田田_tx_cd_ki_ki]
麡	[鹿亠刀丷丨{氏}{斉下}_tx_s_yd_ud_i_rh_nd]
麢	[鹿⻗口口口_tx_fv_j_j_j]
麣	[鹿口口厂乛耳攵_tx_j_j_gg_x_ce_mo]
麤	[鹿鹿鹿_tx_tx_tx]
麥	[木人人夊_f_od_od_rs]
麦	[龶夊_ci_rs]
麧	[木人人夊𠂉乙_f_od_od_rs_ma_yda]
麨	[木人人夊小丿_f_od_od_rs_ko_m]
麩	[木人人夊二人_f_od_od_rs_bd_od]
麪	[木人人夊丅㇗㇆_f_od_od_rs_ai_z_y]
麫	[木人人夊一⺊㇉_f_od_od_rs_a_id_z]
麬	[木人人夊皮_f_od_od_rs_xi]
麭	[木人人夊包_f_od_od_rs_ry]
麮	[木人人夊土厶_f_od_od_rs_b_zs]
麯	[木人人夊日〢_f_od_od_rs_k_kd]
麰	[木人人夊厶牛_f_od_od_rs_zs_mb]
麱	[木人人夊甫_f_od_od_rs_fb]
麲	[木人人夊見_f_od_od_rs_lr]
麳	[木人人夊木人人_f_od_od_rs_f_od_od]
麴	[木人人夊勹米_f_od_od_rs_ry_uf]
麵	[木人人夊丆囗ㅒ_f_od_od_rs_g_jd_kd]
麶	[木人人夊亠㐅凵冂厶_f_od_od_rs_s_os_zi_ld_zs]
麷	[木人人夊豐_f_od_od_rs_ci]
麸	[龶夊二人_ci_rs_bd_od]
麹	[龶夊勹米_ci_rs_ry_uf]
麺	[龶夊丆囗ㅒ_ci_rs_g_jd_kd]
麻	[广木木_tg_f_f]
麼	[广木木㇜厶_tg_f_f_z_zs]
麽	[广木木丿厶_tg_f_f_m_zs]
麾	[广木木毛_tg_f_f_mh]
麿	[广木木口口_tg_f_f_j_j]
黀	[广木木耳又_tg_f_f_ce_xs]
黁	[广木木禾日_tg_f_f_mf_k]
黂	[广木木十卄貝_tg_f_f_ed_e_lo]
黃	[廿一由八_ea_a_kia_o]
黄	[龷由八_ea_kia_o]
黅	[龷由八人丶㇇_ea_kia_o_od_s_x]
黆	[龷由八冖儿_ea_kia_o_ww_rd]
黇	[龷由八⺊口_ea_kia_o_id_j]
黈	[龷由八丶王_ea_kia_o_s_c]
黉	[⺍冖龷由八_vd_ww_ea_kia_o]
黊	[龷由八土土_ea_kia_o_b_b]
黋	[⺌兀龷由八_ko_gr_ea_kia_o]
黌	[{𦥯框}㐅乂龷由八_nb_os_os_ea_kia_o]
黍	[禾人氺_mf_od_kv]
黎	[禾勹丿人氺_mf_ry_m_od_kv]
黏	[禾人氺⺊口_mf_od_kv_id_j]
黐	[禾人氺亠㐅凵冂厶_mf_od_kv_s_os_zi_ld_zs]
黑	[{柬中}土灬_lk_b_uo]
黒	[日土灬_k_b_uo]
黓	[{柬中}土灬弋_lk_b_uo_hs]
黔	[{柬中}土灬人丶㇇_lk_b_uo_od_s_x]
黕	[{柬中}土灬冖儿_lk_b_uo_ww_rd]
黖	[{柬中}土灬{匸}儿_lk_b_uo_h_rd]
黗	[{柬中}土灬七凵_lk_b_uo_hd_zi]
默	[{柬中}土灬大丶_lk_b_uo_gd_s]
黙	[日土大丶灬_k_b_gd_s_uo]
黚	[{柬中}土灬甘_lk_b_uo_eb]
黛	[亻弋{柬中}土灬_n_hs_lk_b_uo]
黜	[{柬中}土灬屮凵_lk_b_uo_zi_zi]
黝	[{柬中}土灬㇜厶力_lk_b_uo_z_zs_ym]
點	[{柬中}土灬⺊口_lk_b_uo_id_j]
黟	[{柬中}土灬夕夕_lk_b_uo_rs_rs]
黠	[{柬中}土灬士口_lk_b_uo_b_j]
黡	[厂大丶{柬中}土灬_gg_gd_s_lk_b_uo]
黢	[{柬中}土灬厶八夊_lk_b_uo_zs_o_rs]
黣	[{柬中}土灬𠂉母_lk_b_uo_ma_zy]
黤	[{柬中}土灬大日乚_lk_b_uo_gd_k_z]
黥	[{柬中}土灬亠口小_lk_b_uo_s_j_ko]
黦	[{柬中}土灬宀夕㔾_lk_b_uo_wd_rs_yyb]
黧	[禾勹丿{柬中}土灬_mf_ry_m_lk_b_uo]
黨	[⺌冖口{柬中}土灬_ko_ww_j_lk_b_uo]
黩	[{柬中}土灬十乛⺀大_lk_b_uo_ed_x_td_gd]
黪	[{柬中}土灬厶大彡_lk_b_uo_zs_gd_pd]
黫	[{柬中}土灬覀土_lk_b_uo_fj_b]
黬	[{柬中}土灬戊一口_lk_b_uo_hm_a_j]
黭	[{柬中}土灬人一口廾_lk_b_uo_od_a_j_e]
黮	[{柬中}土灬其㇗_lk_b_uo_ec_z]
黯	[{柬中}土灬立日_lk_b_uo_su_k]
黰	[{柬中}土灬十{且}八_lk_b_uo_ed_lc_o]
黱	[月龹{柬中}土灬_q_ub_lk_b_uo]
黲	[{柬中}土灬厶厶厶人彡_lk_b_uo_zs_zs_zs_od_pd]
黳	[匸矢殳{柬中}土灬_h_ma_qx_lk_b_uo]
黴	[彳山一{柬中}土灬攵_oi_ll_a_lk_b_uo_mo]
黵	[{柬中}土灬⺈厂八言_lk_b_uo_r_gg_o_s]
黶	[厂日⺝大丶{柬中}土灬_gg_k_q_gd_s_lk_b_uo]
黷	[{柬中}土灬士罒貝_lk_b_uo_b_lk_lo]
黸	[{柬中}土灬虍田皿_lk_b_uo_ih_ki_lka]
黹	[业氺冂_ku_kv_ld]
黺	[业氺冂八刀_ku_kv_ld_o_yd]
黻	[业氺冂𠂇又丶_ku_kv_ld_gd_xs_s]
黼	[业氺冂甫_ku_kv_ld_fb]
黽	[黽_wx]
黾	[口日乚_j_k_z]
黿	[二儿黽_bd_rd_wx]
鼀	[土八黽_b_o_wx]
鼁	[土厶黽_b_zs_wx]
鼂	[日一黽_k_a_wx]
鼃	[土土黽_b_b_wx]
鼄	[{牛}小黽_mb_ko_wx]
鼅	[矢口黽_ma_j_wx]
鼆	[冖日亠八黽_ww_k_s_o_wx]
鼇	[龶{万下}攵黽_ci_ym_mo_wx]
鼈	[氺冂攵黽_kv_ld_mo_wx]
鼉	[口口田一黽_j_j_ki_a_wx]
鼊	[尸口辛黽_xm_j_se_wx]
鼋	[二儿口日乚_bd_rd_j_k_z]
鼌	[日一口日乚_k_a_j_k_z]
鼍	[口口田一口日乚_j_j_ki_a_j_k_z]
鼎	[目爿片_l_zi_nx]
鼏	[冖目爿片_ww_l_zi_nx]
鼐	[㇡丿目爿片_y_m_l_zi_nx]
鼑	[⺊目爿片_id_l_zi_nx]
鼒	[{于下}丿目爿片_d_m_l_zi_nx]
鼓	[士口䒑十又_b_j_ua_ed_xs]
鼔	[士口䒑⺊又_b_j_ua_id_xs]
鼕	[士口䒑十又夂⺀_b_j_ua_ed_xs_rs_td]
鼖	[十卄士口䒑十又_ed_e_b_j_ua_ed_xs]
鼗	[∷儿士口䒑十又_v_rd_b_j_ua_ed_xs]
鼘	[士口䒑十又{淵右}_b_j_ua_ed_xs_nd]
鼙	[士口䒑十又{卑上}十_b_j_ua_ed_xs_nj_ed]
鼚	[士口䒑十又長_b_j_ua_ed_xs_ch]
鼛	[士口䒑十又夊卜口_b_j_ua_ed_xs_rs_id_j]
鼜	[士口䒑十又又丶虫_b_j_ua_ed_xs_xs_s_i]
鼝	[氵{淵右}士口䒑十又_v_nd_b_j_ua_ed_xs]
鼞	[士口䒑十又⺌冖口土_b_j_ua_ed_xs_ko_ww_j_b]
鼟	[士口䒑十又癶一口䒑_b_j_ua_ed_xs_xs_a_j_ua]
鼠	[臼{鼠下}_nb_zd]
鼡	[⺍⺇キ_vd_qd_bi]
鼢	[臼{鼠下}八刀_nb_zd_o_yd]
鼣	[臼{鼠下}大丶_nb_zd_gd_s]
鼤	[臼{鼠下}文_nb_zd_so]
鼥	[臼{鼠下}𠂇又丶_nb_zd_gd_xs_s]
鼦	[臼{鼠下}刀口_nb_zd_yd_j]
鼧	[臼{鼠下}宀匕_nb_zd_wd_rr]
鼨	[臼{鼠下}夂⺀_nb_zd_rs_td]
鼩	[臼{鼠下}勹口_nb_zd_ry_j]
鼪	[臼{鼠下}生_nb_zd_mc]
鼫	[臼{鼠下}石_nb_zd_g]
鼬	[臼{鼠下}由_nb_zd_kia]
鼭	[臼{鼠下}土寸_nb_zd_b_ds]
鼮	[臼{鼠下}廴丿土_nb_zd_y_m_b]
鼯	[臼{鼠下}工㇕口_nb_zd_bi_x_j]
鼰	[臼{鼠下}貝_nb_zd_lo]
鼱	[臼{鼠下}龶⺝_nb_zd_ci_q]
鼲	[臼{鼠下}冖車_nb_zd_ww_fk]
鼳	[臼{鼠下}目大丶_nb_zd_l_gd_s]
鼴	[臼{鼠下}匸日女_nb_zd_h_k_zm]
鼵	[臼{鼠下}穴大丶_nb_zd_wo_gd_s]
鼶	[臼{鼠下}⺁虎_nb_zd_pd_ih]
鼷	[臼{鼠下}爫㇜厶大_nb_zd_pv_z_zs_gd]
鼸	[臼{鼠下}䒑{兼下}_nb_zd_ua_xk]
鼹	[臼{鼠下}日宀女_nb_zd_k_wd_zm]
鼺	[臼{鼠下}田田田_nb_zd_ki_ki_ki]
鼻	[自田一{丿丨}_nl_ki_a_nd]
鼼	[自田一{丿丨}丩_nl_ki_a_nd_zi]
鼽	[自田一{丿丨}九_nl_ki_a_nd_qy]
鼾	[自田一{丿丨}一十_nl_ki_a_nd_a_ed]
鼿	[自田一{丿丨}兀_nl_ki_a_nd_gr]
齀	[自田一{丿丨}一㇙㇈丶_nl_ki_a_nd_a_z_yda_s]
齁	[自田一{丿丨}勹口_nl_ki_a_nd_ry_j]
齂	[自田一{丿丨}⺕氺_nl_ki_a_nd_xb_kv]
齃	[自田一{丿丨}日匃_nl_ki_a_nd_k_ry]
齄	[自田一{丿丨}木日一_nl_ki_a_nd_f_k_a]
齅	[自田一{丿丨}自大丶_nl_ki_a_nd_nl_gd_s]
齆	[自田一{丿丨}巛口巴_nl_ki_a_nd_zd_j_yia]
齇	[自田一{丿丨}虍且_nl_ki_a_nd_ih_lc]
齈	[自田一{丿丨}日〢辰_nl_ki_a_nd_k_kd_gh]
齉	[自田一{丿丨}一口丨冖口口{冓上}𧘇_nl_ki_a_nd_a_j_i_ww_j_j_eb_rh]
齊	[亠刀丷丨{氏}{斉下}_s_yd_ud_i_rh_nd]
齋	[亠刀丷丨{氏}{斉下}小_s_yd_ud_i_rh_nd_ko]
齌	[亠刀丷丨{氏}{斉下}火_s_yd_ud_i_rh_nd_uo]
齍	[亠刀丷丨{氏}{斉下}皿_s_yd_ud_i_rh_nd_lka]
