㐀	qiū
酅	xī
酆	fēng
酇	zàn cuó cuán
酈	lí zhí lì
酉	yǒu
酊	dǐng dīng
酋	qiú
酌	zhuó
配	pèi
酎	zhòu
酏	yí yǐ
酐	hàng gān
酑	yú
酒	jiǔ
酓	yǎn yàn yǐn
酔	zuì
酕	máo
酖	dān zhèn
酗	xù
酘	dòu
酙	zhēn
酚	fēn
酛	yuán
酜	fu fū
酝	yùn
酞	tài
酟	tiān
酠	qiǎ
酡	tuó duò
酢	cù zuò
酣	hān hàn
酤	gū
酥	sū
酦	pò fā pō pó
酧	chóu
酨	zài zuì
酩	mǐng
酪	lào luò lù
酫	chuò
酬	chou chóu
酭	yòu
酮	tóng dòng chóng
酯	zhǐ
酰	xiān
酱	jiàng
酲	chéng
酳	yìn
酴	tú
酵	jiào xiào
酶	méi
酷	kù
酸	suān
酹	lèi
酺	pú
酻	zuì fú
酼	hǎi
酽	yàn
酾	shāi shī
酿	niàng niáng
醀	wéi zhuì
醁	lù
醂	lǎn
醃	yān āng
醄	táo
醅	pēi
醆	zhǎn
醇	chún
醈	tán dàn
醉	zuì
醊	zhuì chuò
醋	cù zuò
醌	kūn
醍	tǐ tí
醎	xián jiǎn
醏	dū
醐	hú
醑	xǔ
醒	xǐng chéng jīng
醓	tǎn
醔	qiú chōu
醕	chún
醖	yùn
醗	pò fā pō
醘	kē
醙	sōu
醚	mí
醛	chuò quán
醜	chǒu
醝	cuō cuǒ cuó
醞	yùn
醟	yòng
醠	àng
醡	zhà
醢	hǎi
醣	táng
醤	jiàng
醥	piǎo
醦	chěn chǎn
醧	yù ōu
醨	lí
醩	zāo
醪	láo
醫	yī yǐ
醬	jiàng
醭	bú
醮	jiào qiáo zhàn
醯	xī
醰	tán
醱	pō fā pò
醲	nóng
醳	yì shì
醴	lǐ
醵	jù
醶	yàn liǎn xiān jiǎn
醷	yì yǐ ài
醸	niàng
醹	rú
醺	xūn
醻	chóu shòu dào
醼	yàn
醽	líng
醾	mí
醿	mí
釀	niàng niáng
釁	xìn
釂	jiào
釃	shī shāi lí
釄	mí
釅	yàn
釆	biàn biǎn
采	cǎi cài
釈	shì
釉	yòu
释	shì
釋	shì yì
里	lǐ li
重	zhòng chóng tóng
野	yě shù
量	liàng liang liáng
釐	lí xī lái tāi lài xǐ
金	jīn jìn
釒	jīn
釓	qiú gá
釔	yǐ
釕	liǎo liào
釖	dāo
釗	zhāo
釘	dīng dìng líng
釙	pò pō
釚	qiú
釛	bā hé
釜	fǔ
針	zhēn
釞	zhí
釟	bā
釠	luàn
釡	fǔ
釢	nǎi
釣	diào
釤	shàn shān xiān
釥	qiǎo jiǎo
釦	kòu
釧	chuàn chuān
釨	zǐ
釩	fǎn fàn fán
釪	huá yú
釫	huá wū
釬	hàn gān
釭	gāng gōng
釮	qí
釯	máng
釰	rì rèn jiàn
釱	dì dài
釲	sì
釳	xì
釴	yì
釵	chāi chā
釶	shī yí yě
釷	tǔ
釸	xī xì
釹	nǚ
釺	qiān
釻	qiú
釼	jiàn rèn rì
釽	pī zhāo pì
釾	yé yá
釿	jīn yǐn yín
鈀	bā pá bǎ
鈁	fāng
鈂	chén qín zhèn
鈃	xíng
鈄	dǒu tǒu
鈅	yuè
鈆	qiān zhōng yán
鈇	fū fǔ
鈈	pī bù
鈉	nà ruì
鈊	xīn qìn
鈋	é
鈌	jué
鈍	dùn
鈎	gōu
鈏	yǐn
鈐	qián hán
鈑	bǎn
鈒	sà xì jí
鈓	rén rèn
鈔	chāo chǎo
鈕	niǔ chǒu
鈖	fēn
鈗	yǔn duì
鈘	yǐ jǐ
鈙	qín
鈚	pī bī bǐ
鈛	guō
鈜	hóng
鈝	yín
鈞	jūn
鈟	diào shī
鈠	yì
鈡	zhōng
鈢	xǐ
鈣	gài
鈤	rì
鈥	huǒ
鈦	tài
鈧	kàng
鈨	yuán
鈩	lú lu
鈪	è
鈫	qín
鈬	duó duo
鈭	zī
鈮	nǐ ní
鈯	tú
鈰	shì
鈱	mín mǐn
鈲	gū pì
鈳	kē
鈴	líng
鈵	bǐng
鈶	sì cí tái
鈷	gǔ hú gù
鈸	bó
鈹	pī pí
鈺	yù
鈻	sì
鈼	zuó
鈽	bū bù
鈾	yóu zhòu
鈿	tián diàn
鉀	jiǎ gé
鉁	zhēn zhèn
鉂	shǐ
鉃	shì zú
鉄	zhí tiě
鉅	jù
鉆	chān qián tiē zhān zhēn zuān
鉇	shī yí
鉈	shī shé yí tuó tā
鉉	xuàn
鉊	zhāo
鉋	bào páo báo
鉌	hé
鉍	bì sè
鉎	shēng
鉏	chú zū zhù jǔ chá xú
鉐	shí zú
鉑	bó
鉒	zhù
鉓	chì
鉔	zā
鉕	pō pǒ
鉖	tóng
鉗	qián ān
鉘	fú
鉙	zhǎi
鉚	liǔ mǎo
鉛	qiān yán
鉜	fú
鉝	lì
鉞	yuè
鉟	pī
鉠	yāng
鉡	bàn
鉢	bō
鉣	jié
鉤	gōu gòu qú
鉥	shù xù
鉦	zhēng
鉧	mǔ
鉨	nǐ niě xǐ
鉩	xǐ niè
鉪	dì
鉫	jiā
鉬	mù
鉭	tǎn
鉮	huán shén shēn
鉯	yǐ
鉰	sī
鉱	kuàng
鉲	kǎ
鉳	běi
鉴	jiàn
鉵	tóng zhuó
鉶	xíng
鉷	hóng
鉸	jiǎo
鉹	chǐ
鉺	èr kēng ěr
鉻	luò gē gè
鉼	bǐng píng
鉽	shì
鉾	móu máo
鉿	jiā gē kē hā
銀	yín
銁	jūn
銂	zhōu
銃	chòng
銄	xiǎng jiōng
銅	tóng
銆	mò
銇	lèi
銈	jī
銉	yù sì
銊	xù huì
銋	rén rěn
銌	zùn
銍	zhì
銎	qiōng qióng
銏	shàn shuò
銐	chì lì
銑	xiǎn xiān xǐ
銒	xíng jiān
銓	quán
銔	pī
銕	tiě yí
銖	zhū
銗	hóu xiàng
銘	míng
銙	kuǎ
銚	yáo diào tiáo qiāo yào
銛	xiān tiǎn guā
銜	xián
銝	xiū
銞	jūn
銟	chā
銠	lǎo
銡	jí
銢	pǐ
銣	rú
銤	mǐ
銥	yī
銦	yīn
銧	guāng
銨	ǎn
銩	diū
銪	yǒu
銫	sè
銬	kào
銭	qián
銮	luán
銯	sī
銰	āi ng ɑi
銱	diào
銲	hàn
銳	ruì
銴	shì zhì
銵	kēng
銶	qiú
銷	xiāo
銸	zhé niè
銹	xiù yòu
銺	zàng
銻	tí tī
銼	cuò
銽	guā kuò tiǎn xiān
銾	hòng gǒng
銿	zhōng yōng
鋀	tōu dòu tù
鋁	lǚ lǜ
鋂	méi méng
鋃	láng
鋄	wàn wǎn jiǎn
鋅	xīn zǐ
鋆	yún jūn
鋇	bèi
鋈	wù
鋉	sù
鋊	yù
鋋	chán yán
鋌	dìng tǐng
鋍	bó
鋎	hàn
鋏	jiá
鋐	hóng
鋑	cuān jiān juān
鋒	fēng
鋓	chān
鋔	wǎn
鋕	zhì
鋖	sī tuó
鋗	xuān juān juàn
鋘	huá wú hú wū
鋙	yǔ yú wú
鋚	tiáo
鋛	kuàng gǒng
鋜	zhuó chuò
鋝	lüè lvè
鋞	xíng xìng jīng
鋟	qǐn qiān qīn jìn qín
鋠	shèn
鋡	hán
鋢	lüè lvè
鋣	yé
鋤	chú jǔ
鋥	zèng
鋦	jū jú
鋧	xiàn
鋨	tiě é
鋩	máng
鋪	pù pū pu
鋫	lí
鋬	pàn
鋭	ruì duì yuè
鋮	chéng
鋯	gào
鋰	lǐ
鋱	tè
鋲	bīng
鋳	zhù
鋴	zhèn zhen
鋵	tū
鋶	liǔ
鋷	zuì niè
鋸	jù jū
鋹	chǎng
鋺	yuǎn yuān wǎn wān
鋻	jiàn jiān
鋼	gāng gàng
鋽	diào
鋾	táo
鋿	cháng shǎng
錀	lún fēn
錁	guǒ kuǎ kè
錂	líng
錃	pī bēi
錄	lù
錅	lí
錆	qiāng qīng
錇	póu fú péi
錈	juǎn juàn
錉	mín
錊	zuì zū
錋	péng bèng
錌	àn
錍	bēi pī bī pí
錎	xiàn gàn qiàn
錏	yā yà
錐	zhuī
錑	lèi lì
錒	kē ā
錓	kōng
錔	tà
錕	kūn gǔn
錖	dú
錗	nèi zhuì wèi
錘	chuí
錙	zī
錚	zhēng zhèng
錛	bēn
錜	niè
錝	zòng cóng
錞	duì chún duò
錟	tán xiān yǎn
錠	dìng
錡	qí yǐ
錢	qián qian jiǎn
錣	zhuì chuò
錤	jī qí
錥	yù
錦	jǐn
錧	guǎn
錨	máo
錩	chāng
錪	tiǎn tǔn
錫	xī tì
錬	liàn
錭	táo diāo
錮	gù
錯	cuò cù xī
錰	shù
錱	zhēn
録	lù lǜ
錳	měng
錴	lù
錵	huā
錶	biǎo
錷	gá
錸	lái
錹	kěn
錺	fāng
錻	wu bū
錼	nài
錽	wàn jiǎn
錾	zàn
錿	hǔ
鍀	dé
鍁	xiān
鍂	piān uu
鍃	huō huò
鍄	liàng
鍅	fǎ
鍆	mén
鍇	kǎi jiē jiě
鍈	yīng yāng
鍉	dī chí dí shì
鍊	liàn jiàn
鍋	guō guǒ
鍌	xiǎn
鍍	dù
鍎	tú
鍏	wéi
鍐	zōng cōng
鍑	fù
鍒	róu
鍓	jí
鍔	è
鍕	jūn
鍖	chěn zhēn
鍗	tí
鍘	zhá
鍙	hù
鍚	yáng
鍛	duàn
鍜	xiá
鍝	yú
鍞	kēng
鍟	shēng xīng
鍠	huáng
鍡	wěi
鍢	fù
鍣	zhāo
鍤	chā
鍥	qiè
鍦	shī shé
鍧	hōng
鍨	kuí
鍩	tiǎn nuò
鍪	móu
鍫	qiāo
鍬	qiāo
鍭	hóu
鍮	tōu
鍯	cōng
鍰	huán
鍱	yè xié
鍲	mín
鍳	jiàn
鍴	duān
鍵	jiàn
鍶	sōng sī
鍷	kuí
鍸	hú
鍹	xuān
鍺	duǒ dǔ zhě
鍻	jié
鍼	zhēn qián
鍽	biān
鍾	zhōng
鍿	zī
鎀	xiū
鎁	yé
鎂	měi
鎃	pài
鎄	āi
鎅	jiè
鎆	qian qián
鎇	méi
鎈	suǒ chā cuō
鎉	dá tà dā
鎊	pāng bàng
鎋	xiá
鎌	lián
鎍	suǒ sè
鎎	kài
鎏	liú
鎐	yáo zú
鎑	yè tà gé
鎒	nòu hāo
鎓	wēng
鎔	róng
鎕	táng
鎖	suǒ
鎗	chēng qiāng qiàng
鎘	lì gé
鎙	shuò
鎚	chuí duī zhuì
鎛	bó
鎜	pán
鎝	sà dā
鎞	bī pī bì
鎟	sǎng
鎠	gāng
鎡	zī
鎢	wū
鎣	yīng yíng jiǒng
鎤	huàng huǎng
鎥	tiáo
鎦	liú liù
鎧	kǎi
鎨	sǔn
鎩	shā shì sè
鎪	sōu
鎫	wàn jiǎn
鎬	hào gǎo
鎭	zhèn
鎮	zhèn zhēn tián
鎯	luǒ láng
鎰	yì
鎱	yuán
鎲	tǎng
鎳	niè
鎴	xí
鎵	jiā
鎶	gē
鎷	mǎ
鎸	juān
鎹	sòng róng
鎺	zǔ
鎻	suǒ
鎼	xià
鎽	fēng
鎾	wēn wen
鎿	ná
鏀	lǔ
鏁	suǒ
鏂	ōu kōu
鏃	zú chuò
鏄	tuán
鏅	xiū xiù
鏆	guàn
鏇	xuàn xuán
鏈	liàn lián
鏉	shòu sōu
鏊	ào
鏋	mǎn
鏌	mò
鏍	luó
鏎	bì
鏏	wèi
鏐	liú liù liáo
鏑	dí dī
鏒	sǎn qiāo càn
鏓	zǒng cōng
鏔	yí
鏕	lù áo
鏖	áo biāo
鏗	kēng
鏘	qiāng
鏙	cuī
鏚	qī qì
鏛	cháng shǎng
鏜	tāng táng
鏝	màn
鏞	yōng
鏟	chǎn
鏠	fēng
鏡	jìng
鏢	biāo
鏣	shù
鏤	lòu lǘ
鏥	xiù
鏦	cōng
鏧	lóng
鏨	zàn
鏩	jiàn zàn
鏪	cáo
鏫	lí
鏬	xià
鏭	xī
鏮	kāng
鏯	shuǎng
鏰	bèng
鏱	zhang zhāng tè
鏲	qian qiān
鏳	chēng zhēng
鏴	lù
鏵	huá
鏶	jí
鏷	pú
鏸	huì suì ruì
鏹	qiǎng qiāng
鏺	pō
鏻	lín
鏼	sè
鏽	xiù
鏾	sǎn xiàn sà
鏿	chēng
鐀	kuì guì
鐁	sī
鐂	liú liù
鐃	náo nào
鐄	huáng héng
鐅	piě
鐆	suì
鐇	fán
鐈	qiáo
鐉	quān
鐊	yáng xī
鐋	tàng tāng
鐌	xiàng
鐍	jué yù
鐎	jiāo
鐏	zūn
鐐	liáo liào
鐑	qiè qì
鐒	láo
鐓	duì duī dūn
鐔	xín tán chán
鐕	zān
鐖	jī qí
鐗	jiǎn
鐘	zhōng
鐙	dèng dēng
鐚	yā
鐛	yǐng yìng
鐜	duī dūn
鐝	jué
鐞	nòu
鐟	zān tì
鐠	pǔ
鐡	tiě dié
鐢	fán uu
鐣	chēng
鐤	dǐng
鐥	shàn
鐦	kāi
鐧	jiān jiǎn jiàn
鐨	fèi
鐩	suì
鐪	lǔ
鐫	juān
鐬	huì
鐭	yù
鐮	lián
鐯	zhuó zhuō
鐰	qiāo sào cáo
鐱	jiàn qiān
鐲	zhuó shǔ
鐳	léi
鐴	bì bèi
鐵	tiě dié
鐶	huán xuàn
鐷	yè
鐸	duó
鐹	guǒ guō guò
鐺	dang chēng dāng tāng
鐻	jù qú
鐼	fén bēn
鐽	dá bì
鐾	bèi
鐿	yì
鑀	ài
鑁	zōng
鑂	xùn
鑃	diào
鑄	zhù
鑅	héng
鑆	zhuì
鑇	jī
鑈	niè nǐ
鑉	hé
鑊	huò
鑋	qīng
鑌	bīn
鑍	yīng
鑎	kuì guì
鑏	níng nǐng
鑐	xū rú róu
鑑	jiàn
鑒	jiàn
鑓	qiǎn
鑔	chǎ
鑕	zhì
鑖	miè mì
鑗	lí
鑘	léi lěi
鑙	jī
鑚	zuàn zuān
鑛	kuàng gǒng
鑜	shǎng
鑝	péng
鑞	là
鑟	dú
鑠	shuò yuè lì
鑡	chuò
鑢	lǜ
鑣	biāo
鑤	bào
鑥	lǔ
鑦	xian xián
鑧	kuān
鑨	lóng
鑩	è
鑪	lú
鑫	xīn xùn
鑬	jiàn
鑭	làn lán
鑮	bó
鑯	jiān qiān
鑰	yào yuè
鑱	chán
鑲	xiāng ráng
鑳	jiàn
鑴	xī huī xì
鑵	guàn
鑶	cáng
鑷	niè
鑸	lěi
鑹	cuàn cuān
鑺	qú
鑻	pàn
鑼	luó
鑽	zuān zuàn
鑾	luán
鑿	záo zuò zú zào
钀	niè yǐ
钁	jué
钂	tǎng
钃	zhú shǔ
钄	lán làn
钅	jīn
钆	gá
钇	yǐ
针	zhēn
钉	dīng dìng
钊	zhāo
钋	pō
钌	liǎo liào
钍	tǔ
钎	qiān
钏	chuàn
钐	shān shàn
钑	sà jí xì
钒	fán
钓	diào
钔	mén
钕	nǚ
钖	yáng
钗	chāi
钘	xíng
钙	gài
钚	bù
钛	tài
钜	jù
钝	dùn
钞	chāo
钟	zhōng
钠	nà
钡	bèi
钢	gāng gàng
钣	bǎn
钤	qián
钥	yào yuè
钦	qīn
钧	jūn
钨	wū
钩	gōu
钪	kàng
钫	fāng
钬	huǒ
钭	tǒu dǒu
钮	niǔ
钯	bǎ pá
钰	yù
钱	qián qian
钲	zhēng zhèng
钳	qián
钴	gǔ
钵	bō
钶	kē ē
钷	pǒ
钸	bū bù
钹	bó
钺	yuè
钻	zuān zuàn
钼	mù
钽	tǎn
钾	jiǎ
钿	diàn tián
铀	yóu
铁	tiě
铂	bó
铃	líng
铄	shuò
铅	qiān yán
铆	mǎo
铇	bào
铈	shì
铉	xuàn
铊	tā tuó
铋	bì
铌	ní
铍	pī pí
铎	duó
铏	xíng
铐	kào
铑	lǎo
铒	ěr
铓	máng
铔	yā yà
铕	yǒu
铖	chéng
铗	jiá
铘	yé
铙	náo
铚	zhì
铛	dang dāng chēng
铜	tóng
铝	lǚ
铞	diào
铟	yīn
铠	kǎi
铡	zhá
铢	zhū
铣	xǐ xiǎn
铤	dìng tǐng
铥	diū
铦	xiān
铧	huá
铨	quán
铩	shā
铪	hā kē
铫	diào yáo
铬	gè
铭	míng
铮	zhēng zhèng
铯	sè
铰	jiǎo
铱	yī
铲	chǎn
铳	chòng
铴	tāng
铵	ǎn
银	yín
铷	rú
铸	zhù
铹	láo
铺	pù pū pu
铻	wú yǔ
铼	lái
铽	tè
链	liàn
铿	kēng
销	xiāo
锁	suǒ
锂	lǐ
锃	zèng
锄	chú
锅	guō
锆	gào
锇	é
锈	xiù
锉	cuò
锊	lüè lvè
锋	fēng
锌	xīn
锍	liǔ
锎	kāi
锏	jiǎn jiàn
锐	ruì
锑	tī
锒	láng
锓	qǐn
锔	jū jú
锕	ā
锖	qiāng
锗	zhě
锘	nuò
错	cuò
锚	máo
锛	bēn
锜	qí
锝	dé
锞	kè
锟	kūn
锠	chāng
锡	xī
锢	gù
锣	luó
锤	chuí
锥	zhuī
锦	jǐn
锧	zhì
锨	xiān
锩	juǎn
锪	huō huò
锫	péi
锬	tán xiān
锭	dìng
键	jiàn
锯	jù jū
锰	měng
锱	zī
锲	qiè
锳	yīng yāng
锴	kǎi
锵	qiāng
锶	sī
锷	è
锸	chā
锹	qiāo
锺	zhōng
锻	duàn
锼	sōu
锽	huáng
锾	huán
锿	āi
镀	dù
镁	měi
镂	lòu
镃	zī
镄	fèi
镅	méi
镆	mò
镇	zhèn
镈	bó
镉	gé
镊	niè
镋	tǎng
镌	juān
镍	niè
镎	ná
镏	liú liù
镐	gǎo hào
镑	bàng
镒	yì
镓	jiā
镔	bīn
镕	róng
镖	biāo
镗	tāng táng
镘	màn
镙	luó
镚	bèng
镛	yōng
镜	jìng
镝	dī dí
镞	zú
镟	xuàn
镠	liú
镡	chán tán xín
镢	jué
镣	liào
镤	pú
镥	lǔ
镦	duì dūn duī
镧	lán
镨	pǔ
镩	cuān
镪	qiāng qiǎng
镫	dèng dēng
镬	huò
镭	léi
镮	huán
镯	zhuó
镰	lián
镱	yì
镲	chǎ
镳	biāo
镴	là
镵	chán
镶	xiāng
長	zhǎng cháng zhàng
镸	cháng
镹	jiǔ
镺	ǎo
镻	dié
镼	qū jié
镽	liǎo liáo
镾	mí
长	zhǎng cháng
門	mén men
閁	mà
閂	shuān
閃	shǎn
閄	huò shǎn
閅	mén
閆	yán
閇	bì
閈	hàn bì
閉	bì
閊	shān
開	kāi qiān
閌	kàng kāng
閍	bēng
閎	hóng
閏	rùn
閐	sàn
閑	xián
閒	jiàn jiān jiǎn xián
間	jiān jian jiàn jiǎn
閔	mǐn mín
閕	xiā xiǎ
閖	shui shuǐ lào
閗	dòu
閘	zhá yā gē
閙	nào
閚	zhān
閛	pēng pèng
閜	xiǎ ě kě
閝	líng
閞	biàn guān
閟	bì
閠	rùn
閡	ài hé
関	guān
閣	gé
閤	gē gé hé
閥	fá
閦	chù
閧	hòng xiàng
閨	guī
閩	mǐn
閪	sē
閫	kǔn
閬	làng lǎng liǎng láng
閭	lǘ
閮	tíng tǐng
閯	shà
閰	jú
閱	yuè
閲	yuè
閳	chǎn
閴	qù
閵	lìn
閶	chāng tāng
閷	shài shā
閸	kǔn
閹	yān
閺	wén
閻	yán yǎn yàn
閼	è yù yān
閽	hūn
閾	yù
閿	wén
闀	hòng xiàng
闁	bāo
闂	hòng xiàng juǎn
闃	qù
闄	yǎo
闅	wén
闆	pǎn bǎn pàn
闇	àn ǎn ān yīn yǐn
闈	wéi
闉	yīn
闊	kuò
闋	què jué kuí
闌	lán làn
闍	dū shé
闎	quán
闏	fēng pèng
闐	tián
闑	niè
闒	tà
闓	kǎi
闔	hé
闕	què quē jué
闖	chuǎng chèn
闗	guān
闘	dòu
闙	qǐ
闚	kuī
闛	táng tāng chāng
關	guān wān wǎn
闝	piáo
闞	kàn hǎn xiàn
闟	xì sè tà xī
闠	huì
闡	chǎn
闢	pì pī
闣	dàng tāng dāng
闤	huán
闥	tà
闦	wén
闧	tā uu
门	mén men
闩	shuān
闪	shǎn
闫	yán yàn
闬	hàn
闭	bì
问	wèn wen
闯	chuǎng
闰	rùn
闱	wéi
闲	xián
闳	hóng
间	jiān jian jiàn
闵	mǐn
闶	kāng kàng
闷	mèn mēn
闸	zhá
闹	nào nao
闺	guī
闻	wén
闼	tà
闽	mǐn
闾	lǘ
闿	kǎi
阀	fá
阁	gé
阂	hé
阃	kǔn
阄	jiū
阅	yuè
阆	láng làng
阇	dū shé
阈	yù
阉	yān
阊	chāng
阋	xì
阌	wén
阍	hūn
阎	yán
阏	è yān
阐	chǎn
阑	lán
阒	qù
阓	huì
阔	kuò
阕	què
阖	hé
阗	tián
阘	dá tà
阙	quē què
阚	hǎn kàn
阛	huán
阜	fù
阝	fù fǔ
阞	lè
队	duì
阠	xìn
阡	qiān
阢	wù wéi
阣	gài yì
阤	zhì yí tuó
阥	yīn
阦	yáng
阧	dǒu
阨	è ài
阩	shēng
阪	bǎn
阫	péi
阬	kēng kàng gāng
阭	yǔn yǎn
阮	yuán ruǎn
阯	zhǐ
阰	pí
阱	jǐng
防	fáng
阳	yáng
阴	yīn
阵	zhèn
阶	jiē
阷	chēng
阸	è ài
阹	qū
阺	dǐ
阻	zǔ zhù
阼	zuò
阽	diàn yán
阾	lǐng líng lín
阿	ā ē ě ǎ à a ɑ
陀	tuó duò
陁	zhì yǐ tuó
陂	bēi bì pō pí
陃	bǐng
附	fù bù fū
际	jì
陆	lù liù
陇	lǒng
陈	chén
陉	xíng
陊	duò
陋	lòu
陌	mò
降	jiàng xiáng
陎	shū
陏	duò suí
限	xiàn wěn
陑	ér
陒	guǐ
陓	yū
陔	gāi
陕	shǎn
陖	jùn
陗	qiào
陘	xíng jìng
陙	chún
陚	fù wǔ
陛	bì
陜	xiá
陝	shǎn
陞	shēng
陟	zhì dé
陠	pū bū bù
陡	dǒu
院	yuàn
陣	zhèn
除	chú zhù shū
陥	xiàn
陦	dǎo
陧	niè
陨	yǔn
险	xiǎn
陪	péi
陫	fèi péi
陬	zōu zhé
陭	yì yǐ qí
陮	duì
陯	lún lùn
陰	yīn yìn ān
陱	jū
陲	chuí
陳	chén zhèn
陴	pí bì pī
陵	líng
陶	táo yáo dào
陷	xiàn
陸	lù liù
陹	shēng
険	xiǎn
陻	yīn
陼	zhǔ dǔ
陽	yáng
陾	réng ér
陿	xiá
隀	chóng
隁	yàn yǎn
隂	yīn
隃	shù yú yáo
隄	dī tí
隅	yú
隆	lóng lōng
隇	wēi
隈	wēi
隉	niè
隊	duì zhuì suì
隋	duò tuǒ tuō suí
隌	ǎn àn
隍	huáng
階	jiē
随	suí
隐	yǐn
隑	gāi ái qí gài
隒	yǎn
隓	huī duò
隔	gé rǒng jī
隕	yǔn yuán
隖	wù
隗	wěi guī kuí
隘	ài è
隙	xì
隚	táng
際	jì
障	zhàng zhāng
隝	dǎo
隞	áo
隟	xì
隠	yǐn yìn
隡	sà
隢	rǎo
隣	lín
隤	tuí
隥	dèng
隦	pí jiǎo
隧	suì zhuì
隨	suí
隩	yù ào
險	xiǎn jiǎn yán
隫	fén
隬	nǐ
隭	ér
隮	jī
隯	dǎo
隰	xí xiè
隱	yǐn yìn
隲	zhì é
隳	huī
隴	lǒng
隵	xī
隶	lì dài yì dì
隷	lì
隸	lì
隹	zhuī cuī wéi
隺	hú què hè
隻	huò zhī
隼	sǔn
隽	juàn jùn
难	nán nan nàn
隿	yì
雀	què qiāo qiǎo
雁	yàn
雂	qín
雃	qiān jiè jiān
雄	xióng
雅	yā yǎ yá
集	jí
雇	gù hù
雈	huán
雉	zhì kǎi yǐ sì
雊	gòu
雋	juàn jùn zuì
雌	cí
雍	yōng
雎	jū
雏	chú
雐	hū
雑	zá
雒	luò
雓	yú
雔	chóu
雕	diāo
雖	suī
雗	hàn
雘	wò huò
雙	shuāng
雚	guàn huán
雛	chú jú jù
雜	zá
雝	yōng
雞	jī
雟	xī suí guī
雠	chóu
雡	liù
離	lí lì lǐ chī gǔ
難	nán nan nàn nuó
雤	xué yù
雥	zá
雦	jí chóu
雧	jí
雨	yǔ yù
雩	yú yù xū
雪	xuě
雫	nǎ
雬	fǒu
雭	sè xí
雮	mù
雯	wén
雰	fēn
雱	pāng páng fāng
雲	yún
雳	lì
雴	chì
雵	yāng
零	líng lián
雷	léi lèi
雸	án
雹	báo
雺	wù méng
電	diàn
雼	dàng
雽	hù hū
雾	wù
雿	diào
需	xū nuò rú ruǎn
霁	jì
霂	mù
霃	chén
霄	xiāo xiào
霅	zhá shà sà yì zhà
霆	tíng
震	zhèn shēn
霈	pèi
霉	méi
霊	líng
霋	qī
霌	zhōu
霍	huò hè suǒ
霎	shà
霏	fēi
霐	hóng
霑	zhān
霒	yīn
霓	ní
霔	zhù shù
霕	tún
霖	lín
霗	líng
霘	dòng
霙	yīng yāng
霚	wù
霛	líng
霜	shuāng
霝	líng
霞	xiá
霟	hóng
霠	yīn
霡	mài
霢	mài mò
霣	yǔn
霤	liù
霥	mèng
霦	bīn
霧	wù méng
霨	wèi
霩	kuò
霪	yín
霫	xí
霬	yì
霭	ǎi
霮	dàn
霯	tèng
霰	xiàn sǎn
霱	yù
露	lù lòu
霳	lóng
霴	dài
霵	jí
霶	pāng
霷	yáng
霸	bà pò
霹	pī
霺	wéi wēi
霻	fēng uu
霼	xì
霽	jì
霾	mái lí
霿	méng mào wù
靀	méng
靁	léi
靂	lì
靃	huò suǐ suǒ
靄	ǎi
靅	fèi
靆	dài
靇	líng lóng
靈	líng ling lìng
靉	ài yǐ
靊	fēng
靋	lì
靌	bǎo
靍	hè
靎	hè he
靏	hè he
靐	bìng
靑	qīng
青	qīng jīng
靓	jìng liàng
靔	tiān
靕	zhēn zhèng
靖	jìng
靗	chēng
靘	qìng qīng jìng
静	jìng jing
靚	jìng liáng liàng
靛	diàn
靜	jìng jing
靝	tiān
非	fēi fěi
靟	fēi
靠	kào
靡	mǐ mí má
面	miàn mian
靣	miàn
靤	bào pào
靥	yè
靦	tiǎn miǎn
靧	huì
靨	yè yǎn
革	gé jí
靪	dīng
靫	chá
靬	jiān qián kān hàn
靭	rèn
靮	dí
靯	dù
靰	wù
靱	rèn
靲	qín
靳	jìn
靴	xuē
靵	niǔ
靶	bà bǎ pá
靷	yǐn
靸	sǎ tā
靹	nà
靺	mò wà
靻	zǔ
靼	dá
靽	bàn
靾	yì xiè
靿	yào
鞀	táo
鞁	bài bì bèi
鞂	jiē jiá
鞃	hóng
鞄	páo
鞅	yāng yǎng yàng
鞆	bǐng bing
鞇	yīn
鞈	gé sǎ tà
鞉	táo
鞊	jié jí
鞋	xié wā
鞌	ān
鞍	ān
鞎	hén
鞏	gǒng
鞐	qiǎ
鞑	dá
鞒	qiáo
鞓	tīng
鞔	mán mèn
鞕	yìng biān
鞖	suī
鞗	tiáo
鞘	qiào shāo
鞙	xuàn juān xuān
鞚	kòng
鞛	běng
鞜	tà
鞝	zhǎng shàng
鞞	bǐng bì pí bēi
鞟	kuò
鞠	jū qū qiōng jú
鞡	la lɑ
鞢	xiè zhá dié
鞣	róu
鞤	bāng
鞥	ēng
鞦	qiū
鞧	qiū
鞨	hé shé mò
鞩	qiào xiào
鞪	mù móu
鞫	jū qū jú
鞬	jiān jiàn
鞭	biān
鞮	dī
鞯	jiān
鞰	wēn yùn
鞱	tāo
鞲	gōu
鞳	tà
鞴	bèi fú bù bài
鞵	xié
鞶	pán
鞷	gé
鞸	bì bǐng
鞹	kuò
鞺	tāng
鞻	lóu
鞼	guì huì
鞽	qiāo juē qiáo
鞾	xuē
鞿	jī
韀	jiān
韁	jiāng
韂	chàn
韃	tà dá
韄	hù huò
韅	xiǎn
韆	qiān
韇	dú
韈	wà wā
韉	jiān
韊	lán
韋	wéi huí
